date,agegrp,covid_deaths
2020-09-13 00:00:00,70-79,1
2020-09-13 00:00:00,80+,9
2020-09-14 00:00:00,40-49,1
2020-09-14 00:00:00,50-59,1
2020-09-14 00:00:00,70-79,4
2020-09-14 00:00:00,80+,6
2020-09-15 00:00:00,60-69,3
2020-09-15 00:00:00,70-79,2
2020-09-15 00:00:00,80+,6
2020-09-16 00:00:00,50-59,1
2020-09-16 00:00:00,60-69,2
2020-09-16 00:00:00,70-79,1
2020-09-16 00:00:00,80+,4
2020-09-17 00:00:00,40-49,1
2020-09-17 00:00:00,50-59,1
2020-09-17 00:00:00,60-69,1
2020-09-17 00:00:00,70-79,6
2020-09-17 00:00:00,80+,4
2020-09-18 00:00:00,40-49,1
2020-09-18 00:00:00,50-59,1
2020-09-18 00:00:00,70-79,2
2020-09-18 00:00:00,80+,6
2020-09-19 00:00:00,20-29,1
2020-09-19 00:00:00,60-69,1
2020-09-19 00:00:00,70-79,3
2020-09-19 00:00:00,80+,4
2020-09-20 00:00:00,70-79,2
2020-09-20 00:00:00,80+,2
2020-09-21 00:00:00,50-59,1
2020-09-21 00:00:00,70-79,2
2020-09-21 00:00:00,80+,3
2020-09-22 00:00:00,30-39,1
2020-09-22 00:00:00,60-69,2
2020-09-22 00:00:00,70-79,3
2020-09-22 00:00:00,80+,7
2020-09-23 00:00:00,30-39,1
2020-09-23 00:00:00,70-79,2
2020-09-23 00:00:00,80+,12
2020-09-24 00:00:00,40-49,1
2020-09-24 00:00:00,60-69,2
2020-09-24 00:00:00,70-79,1
2020-09-24 00:00:00,80+,7
2020-09-25 00:00:00,60-69,2
2020-09-25 00:00:00,70-79,3
2020-09-25 00:00:00,80+,7
2020-09-26 00:00:00,60-69,3
2020-09-26 00:00:00,70-79,5
2020-09-26 00:00:00,80+,14
2020-09-27 00:00:00,70-79,6
2020-09-27 00:00:00,80+,6
2020-09-28 00:00:00,40-49,1
2020-09-28 00:00:00,50-59,1
2020-09-28 00:00:00,60-69,4
2020-09-28 00:00:00,70-79,2
2020-09-28 00:00:00,80+,9
2020-09-29 00:00:00,60-69,3
2020-09-29 00:00:00,70-79,4
2020-09-29 00:00:00,80+,10
